zone,state,city,name,type,entrance_fee_in_inr,significance,image_url,total_cost,latitude,longitude
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,7500,Cultural,https://www.rannutsav.com/blog/wp-content/uploads/2024/12/141013682_715635635803639_4674705074199093637_n-1.png,11000,24.08333,70.16667
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,0,Religious,https://upload.wikimedia.org/wikipedia/commons/9/94/The_Golden_Temple_of_Amrithsar_7.jpg,3050,31.620132,74.876091
Northern,Ladakh,Leh,Pangong Tso,Lake,20,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/00/2f/67/img-20180620-wa0007-largejpg.jpg?w=900&h=500&s=1,4000,33.717942,78.8968
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/b/b9/Shree_Siddhivinayak_Temple_Mumbai.jpg,2050,19.01692,72.830409
Western,Gujarat,Somnath,Somnath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/640px-Somanath_mandir_%28cropped%29.jpg,2050,20.905886,70.387505
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Jallianwala_Bagh%2C_Amritsar_01.jpg/1200px-Jallianwala_Bagh%2C_Amritsar_01.jpg,3050,31.620521,74.880565
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,0,Cultural,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Wagah_border_ceremony2.jpg/800px-Wagah_border_ceremony2.jpg,3050,31.60464,74.5731
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg/640px-Mahalaxmi_Temple%2C_Kolhapur.jpg,2050,18.983331,72.799998
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mahakal_Temple_Ujjain.JPG/1200px-Mahakal_Temple_Ujjain.JPG,3050,23.18278,75.76833
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,10,Historical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1d/24/96/the-marvellous-orchha.jpg?w=900&h=500&s=1,4000,25.35,78.64
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,0,Religious,https://upload.wikimedia.org/wikipedia/commons/4/49/1000_Year_loop.jpg,3050,32.297812,78.011941
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2500,Adventure,https://www.pandotrip.com/wp-content/uploads/2014/05/Top-10-Paragliding-Sites-Slovenia-Photo-by-Robert-Kovacs.jpg,6000,18.755,73.47
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,0,Adventure,"https://ik.imagekit.io/wcarzmwtz/trekyaari-images/Triund_-_Trekyaari_26_-jY9cOl6O.jpeg?tr=w-2048,q-100",3050,32.2617,76.3544
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg,3050,30.7447,79.4911
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,0,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/3b/da/the-main-temple.jpg?w=1200&h=-1&s=1,3050,30.98,78.93
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tungnath_temple.jpg/640px-Tungnath_temple.jpg,3050,30.489,79.217
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg/800px-Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg,3050,26.7956,82.1943
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/e/e3/Banke_Bihari_Vrindavan.jpg,3050,27.5798,77.6905
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kali_Paltan_Mandir%2C_Meerut.jpg/1200px-Kali_Paltan_Mandir%2C_Meerut.jpg,3050,28.9968,77.6911
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,0,Historical,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,3050,34.4333,75.75
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,0,Historical,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,3050,34.4333,75.75
